diff,lwr,upr,p adj,type,comparison,padj_method
0.438544431565447,-23.6082697163841,24.485358579515,1,unrooted_pd,P2-P1,TukeyHSD
4.03898866123672,-18.8887490193748,26.9667263418482,0.999925313243811,unrooted_pd,P3-P1,TukeyHSD
0.06720595479743,-22.8605317258141,22.9949436354089,1,unrooted_pd,P4-P1,TukeyHSD
2.01851615679254,-20.909221523819,24.9462538374041,0.999999820803327,unrooted_pd,P5-P1,TukeyHSD
1.84397617479146,-21.1440184761732,24.8319708257561,0.999999921516031,unrooted_pd,P6-P1,TukeyHSD
2.09492487965258,-20.8328128009589,25.0226625602641,0.999999751002769,unrooted_pd,P7-P1,TukeyHSD
-0.594846258725227,-23.5225839393367,22.3328914218863,0.999999999996871,unrooted_pd,P8-P1,TukeyHSD
4.0626185484752,-19.9841955994743,28.1094326964247,0.999947583534216,unrooted_pd,P9-P1,TukeyHSD
4.57564772258576,-19.4711664253638,28.6224618705353,0.999857270383019,unrooted_pd,P10-P1,TukeyHSD
3.60044422967127,-20.4463699182783,27.6472583776208,0.999981322290317,unrooted_pd,P3-P2,TukeyHSD
-0.371338476768017,-24.4181526247176,23.6754756711815,1,unrooted_pd,P4-P2,TukeyHSD
1.5799717252271,-22.4668424227224,25.6267858731766,0.999999986720035,unrooted_pd,P5-P2,TukeyHSD
1.40543174322602,-22.6988420186585,25.5097055051105,0.999999995429729,unrooted_pd,P6-P2,TukeyHSD
1.65638044808713,-22.3904336998624,25.7031945960367,0.999999979765108,unrooted_pd,P7-P2,TukeyHSD
-1.03339069029067,-25.0802048382402,23.0134234576589,0.999999999702479,unrooted_pd,P8-P2,TukeyHSD
3.62407411690975,-21.4920041235544,28.740152357374,0.999986413872889,unrooted_pd,P9-P2,TukeyHSD
4.13710329102031,-20.9789749494439,29.2531815314845,0.99995774014632,unrooted_pd,P10-P2,TukeyHSD
-3.97178270643929,-26.8995203870508,18.9559549741722,0.999935189888566,unrooted_pd,P4-P3,TukeyHSD
-2.02047250444417,-24.9482101850557,20.9072651761673,0.999999819258868,unrooted_pd,P5-P3,TukeyHSD
-2.19501248644525,-25.1830071374099,20.7929821645194,0.999999632449166,unrooted_pd,P6-P3,TukeyHSD
-1.94406378158413,-24.8718014621956,20.9836738990274,0.999999871574304,unrooted_pd,P7-P3,TukeyHSD
-4.63383491996194,-27.5615726005735,18.2939027606496,0.999764373961834,unrooted_pd,P8-P3,TukeyHSD
0.023629887238485,-24.0231842607111,24.070444035188,1,unrooted_pd,P9-P3,TukeyHSD
0.536659061349042,-23.5101550866005,24.5834732092986,0.999999999999306,unrooted_pd,P10-P3,TukeyHSD
1.95131020199511,-20.9764274786164,24.8790478826066,0.999999867266063,unrooted_pd,P5-P4,TukeyHSD
1.77677021999403,-21.2112244309706,24.7647648709587,0.999999943573181,unrooted_pd,P6-P4,TukeyHSD
2.02771892485515,-20.9000187557564,24.9554566054667,0.999999813435141,unrooted_pd,P7-P4,TukeyHSD
-0.662052213522657,-23.5897898941342,22.2656854670889,0.999999999991653,unrooted_pd,P8-P4,TukeyHSD
3.99541259367777,-20.0514015542718,28.0422267416273,0.999954509900715,unrooted_pd,P9-P4,TukeyHSD
