collection_date,sample_size,unrooted_pd,bwpd,pc1,pc2,pc3,pc4,pc5,grouping,test,padj_method
t0,126,0.0948352961264642,0.602078916469189,0.92978208586846,0.578770412839528,0.312628750853285,0.897192137920156,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t1,48,0.986885365607646,0.907538468822644,0.92978208586846,0.578770412839528,0.312628750853285,0.70575775552706,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t10,72,0.986885365607646,0.618147236312755,0.92978208586846,0.578770412839528,0.312628750853285,0.522771100266307,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t2,118,0.986885365607646,0.907538468822644,0.92978208586846,0.578770412839528,0.0238015565077164,0.897192137920156,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t3,49,0.510810911586126,0.907538468822644,0.92978208586846,0.578770412839528,0.312628750853285,0.624621012328027,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t4,108,0.986885365607646,0.655515029514698,0.92978208586846,0.578502972188966,0.312628750853285,0.221267838970151,0.420160695748007,cross_breed,Kruskal-Wallis,Hommel
t5,24,0.986885365607646,0.208116938447594,0.197840310646837,0.475127914621733,0.312628750853285,0.0545753326432179,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t6,72,0.986885365607646,0.907538468822644,0.92978208586846,0.578770412839528,0.312628750853285,0.498357027150864,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t7,48,0.668133430975349,0.857420949541707,0.69543288086889,0.578770412839528,0.312628750853285,0.588131462939217,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t8,72,0.986885365607646,0.907538468822644,0.270895174514535,0.578770412839528,0.312628750853285,0.897192137920156,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t9,47,0.245609696925907,0.907538468822644,0.92978208586846,0.578770412839528,0.312628750853285,0.78415665039946,0.782356341556692,cross_breed,Kruskal-Wallis,Hommel
t0,126,0.116425439028003,0.479803811162481,0.894011158256963,0.664980076264435,0.401931475125414,0.758970618953382,0.759037685760868,line,Kruskal-Wallis,Hommel
t1,48,0.990777800272123,0.82228398314476,0.894011158256963,0.664980076264435,0.991861534872211,0.758970618953382,0.759037685760868,line,Kruskal-Wallis,Hommel
t10,72,0.990777800272123,0.641036015625451,0.837911481237332,0.664980076264435,0.991861534872211,0.758970618953382,0.759037685760868,line,Kruskal-Wallis,Hommel
t2,118,0.732348721197009,0.82228398314476,0.698259567697777,0.664980076264435,0.991861534872211,0.758970618953382,0.759037685760868,line,Kruskal-Wallis,Hommel
t3,49,0.408199219353692,0.82228398314476,0.744810205544295,0.664980076264435,0.991861534872211,0.622460937050439,0.759037685760868,line,Kruskal-Wallis,Hommel
t4,108,0.990777800272123,0.82228398314476,0.894011158256963,0.561352440595026,0.964903842753538,0.622460937050439,0.759037685760868,line,Kruskal-Wallis,Hommel
t5,24,0.990777800272123,0.0998046379162773,0.27671314655739,0.303076086671663,0.991861534872211,0.0807197989322591,0.759037685760868,line,Kruskal-Wallis,Hommel
t6,72,0.990777800272123,0.82228398314476,0.744810205544295,0.664980076264435,0.991861534872211,0.580963541247077,0.759037685760868,line,Kruskal-Wallis,Hommel
t7,48,0.872179377048181,0.641036015625451,0.510413422836604,0.664980076264435,0.991861534872211,0.691623263389377,0.759037685760868,line,Kruskal-Wallis,Hommel
t8,72,0.990777800272123,0.82228398314476,0.40643876320226,0.664980076264435,0.991861534872211,0.758970618953382,0.759037685760868,line,Kruskal-Wallis,Hommel
t9,47,0.990777800272123,0.82228398314476,0.837911481237332,0.664980076264435,0.991861534872211,0.758970618953382,0.759037685760868,line,Kruskal-Wallis,Hommel
