diff,lwr,upr,p adj,type,comparison,padj_method
-5.59651593750004,-29.879747829694,18.6867159546939,0.999310833697175,unrooted_pd,P2-P1,TukeyHSD
10.0384030208334,-13.114750134349,33.1915561760157,0.934628742221035,unrooted_pd,P3-P1,TukeyHSD
-3.5722847916665,-26.7254379468489,19.5808683635159,0.999975832201703,unrooted_pd,P4-P1,TukeyHSD
8.69696656250005,-14.4561865926823,31.8501197176824,0.973649920378764,unrooted_pd,P5-P1,TukeyHSD
4.03706985197374,-19.1769326937019,27.2510723976494,0.999933018152078,unrooted_pd,P6-P1,TukeyHSD
-2.04086677083325,-25.1940199260156,21.1122863843491,0.999999818842638,unrooted_pd,P7-P1,TukeyHSD
-6.90951885416655,-30.0626720093489,16.2436343010158,0.994842955365579,unrooted_pd,P8-P1,TukeyHSD
8.81159156250004,-15.4716403296939,33.094823454694,0.979119188400439,unrooted_pd,P9-P1,TukeyHSD
4.00190406249999,-20.281327829694,28.2851359546939,0.999957561137995,unrooted_pd,P10-P1,TukeyHSD
15.6349189583334,-8.64831293386055,39.9181508505274,0.569269072559933,unrooted_pd,P3-P2,TukeyHSD
2.02423114583354,-22.2590007463604,26.3074630380275,0.999999889581414,unrooted_pd,P4-P2,TukeyHSD
14.2934825000001,-9.98974939219385,38.5767143921941,0.691561604087348,unrooted_pd,P5-P2,TukeyHSD
9.63358578947378,-14.7076706344121,33.9748422133597,0.962905574666525,unrooted_pd,P6-P2,TukeyHSD
3.5556491666668,-20.7275827255272,27.8388810588607,0.999984583884174,unrooted_pd,P7-P2,TukeyHSD
-1.31300291666651,-25.5962348088605,22.9702289755274,0.999999997671814,unrooted_pd,P8-P2,TukeyHSD
14.4081075000001,-10.9549010209305,39.7711160209307,0.734161583163464,unrooted_pd,P9-P2,TukeyHSD
9.59842000000003,-15.7645885209306,34.9614285209306,0.972310366082516,unrooted_pd,P10-P2,TukeyHSD
-13.6106878124999,-36.7638409676822,9.54246534268252,0.693177186578904,unrooted_pd,P4-P3,TukeyHSD
-1.34143645833331,-24.4945896135157,21.8117166968491,0.999999995681734,unrooted_pd,P5-P3,TukeyHSD
-6.00133316885962,-29.2153357145352,17.212669376816,0.998282045866623,unrooted_pd,P6-P3,TukeyHSD
-12.0792697916666,-35.232422946849,11.0738833635158,0.820415060399586,unrooted_pd,P7-P3,TukeyHSD
-16.9479218749999,-40.1010750301823,6.20523128018248,0.375842542629691,unrooted_pd,P8-P3,TukeyHSD
-1.22681145833332,-25.5100433505273,23.0564204338606,0.999999998732061,unrooted_pd,P9-P3,TukeyHSD
-6.03649895833337,-30.3197308505273,18.2467329338606,0.998738210645618,unrooted_pd,P10-P3,TukeyHSD
